state_name,county_fips,county_name,per_dem,per_gop,per_oth,total_votes
Alabama,1001,Autauga,0.9431,0.0519,0.0049,1617
Alabama,1003,Baldwin,0.788,0.1463,0.0657,2967
Alabama,1005,Barbour,0.9747,0.0204,0.0049,2448
Alabama,1007,Bibb,0.9042,0.092,0.0039,2066
Alabama,1009,Blount,0.7823,0.2088,0.009,3564
Alabama,1011,Bullock,0.995,0.0042,0.0008,1194
Alabama,1013,Butler,0.9632,0.0339,0.0029,2448
Alabama,1015,Calhoun,0.8712,0.1171,0.0117,4961
Alabama,1017,Chambers,0.969,0.0299,0.0011,3742
Alabama,1019,Cherokee,0.8432,0.1492,0.0076,2507
Alabama,1021,Chilton,0.6326,0.3623,0.0052,4055
Alabama,1023,Choctaw,0.9532,0.0468,0,1581
Alabama,1025,Clarke,0.9773,0.0219,0.0007,2735
Alabama,1027,Clay,0.7179,0.2351,0.047,2978
Alabama,1029,Cleburne,0.6863,0.3075,0.0062,1766
Alabama,1031,Coffee,0.9616,0.0333,0.0051,3305
Alabama,1033,Colbert,0.9275,0.0692,0.0033,3628
Alabama,1035,Conecuh,0.956,0.0388,0.0052,2296
Alabama,1037,Coosa,0.8324,0.1478,0.0198,1617
Alabama,1039,Covington,0.9591,0.0376,0.0034,4447
Alabama,1041,Crenshaw,0.9595,0.0389,0.0016,2471
Alabama,1043,Cullman,0.6876,0.3097,0.0027,5499
Alabama,1045,Dale,0.925,0.0743,0.0008,2599
Alabama,1047,Dallas,0.9837,0.015,0.0012,3258
Alabama,1049,DeKalb,0.5687,0.4292,0.0021,10764
Alabama,1051,Elmore,0.9232,0.0424,0.0344,4297
Alabama,1053,Escambia,0.9581,0.0382,0.0037,2698
Alabama,1055,Etowah,0.8224,0.173,0.0046,6978
Alabama,1057,Fayette,0.7482,0.2441,0.0077,2999
Alabama,1059,Franklin,0.6162,0.3777,0.006,4964
Alabama,1061,Geneva,0.8993,0.1,0.0007,2949
Alabama,1063,Greene,0.974,0.0226,0.0034,884
Alabama,1065,Hale,0.9831,0.0121,0.0048,1654
Alabama,1067,Henry,0.9806,0.0178,0.0015,1963
Alabama,1069,Houston,0.9352,0.0608,0.004,3783
Alabama,1071,Jackson,0.7871,0.2113,0.0016,4383
Alabama,1073,Jefferson,0.8951,0.0949,0.01,40198
Alabama,1075,Lamar,0.9225,0.0752,0.0023,2594
Alabama,1077,Lauderdale,0.9141,0.0761,0.0098,5125
Alabama,1079,Lawrence,0.831,0.1667,0.0023,2663
Alabama,1081,Lee,0.9562,0.0407,0.0031,2283
Alabama,1083,Limestone,0.9569,0.0361,0.007,2990
Alabama,1085,Lowndes,0.9901,0.0082,0.0016,1217
Alabama,1087,Macon,0.9671,0.0329,0,1185
Alabama,1089,Madison,0.9101,0.0826,0.0072,6220
Alabama,1091,Marengo,0.9854,0.0142,0.0004,2321
Alabama,1093,Marion,0.7357,0.2524,0.0119,3609
Alabama,1095,Marshall,0.8168,0.1795,0.0037,5152
Alabama,1097,Mobile,0.8995,0.0864,0.0141,12412
Alabama,1099,Monroe,0.9854,0.0112,0.0035,2596
Alabama,1101,Montgomery,0.978,0.0181,0.0039,12332
Alabama,1103,Morgan,0.9239,0.0713,0.0048,6058
Alabama,1105,Perry,0.9845,0.0155,0,1551
Alabama,1107,Pickens,0.9349,0.0601,0.0051,1781
Alabama,1109,Pike,0.9819,0.0174,0.0006,3157
Alabama,1111,Randolph,0.7739,0.2219,0.0042,3574
Alabama,1113,Russell,0.9668,0.0293,0.004,2256
Alabama,1115,St. Clair,0.6183,0.3773,0.0044,3880
Alabama,1117,Shelby,0.7454,0.2443,0.0104,3181
Alabama,1119,Sumter,0.9828,0.0172,0,1393
Alabama,1121,Talladega,0.8542,0.1114,0.0344,4391
Alabama,1123,Tallapoosa,0.961,0.0374,0.0016,3772
Alabama,1125,Tuscaloosa,0.9431,0.0519,0.005,6393
Alabama,1127,Walker,0.7612,0.227,0.0118,7484
Alabama,1129,Washington,0.9528,0.0395,0.0077,1822
Alabama,1131,Wilcox,0.9913,0.008,0.0007,1377
Alabama,1133,Winston,0.4693,0.5277,0.003,2706
Alaska,2013,Aleutians East,100,0,0,1
Alaska,2016,Aleutians West,100,0,0,1
Alaska,2020,Anchorage,100,0,0,1
Alaska,2050,Bethel,100,0,0,1
Alaska,2060,Bristol Bay,100,0,0,1
Alaska,2068,Denali,100,0,0,1
Alaska,2070,Dillingham,100,0,0,1
Alaska,2090,Fairbanks North Star,100,0,0,1
Alaska,2100,Haines,100,0,0,1
Alaska,2105,Hoonah-Angoon,100,0,0,1
Alaska,2110,Juneau,100,0,0,1
Alaska,2122,Kenai Peninsula,100,0,0,1
Alaska,2130,Ketchikan Gateway,100,0,0,1
Alaska,2150,Kodiak Island,100,0,0,1
Alaska,2270,Kusilvak,100,0,0,1
Alaska,2164,Lake and Peninsula,100,0,0,1
Alaska,2170,Matanuska-Susitna,100,0,0,1
Alaska,2180,Nome,100,0,0,1
Alaska,2185,North Slope,100,0,0,1
Alaska,2188,Northwest Arctic,100,0,0,1
Alaska,2195,Petersburg,100,0,0,1
Alaska,2198,Prince of Wales-Hyder,100,0,0,1
Alaska,2220,Sitka,100,0,0,1
Alaska,2230,Skagway,100,0,0,1
Alaska,2240,Southeast Fairbanks,100,0,0,1
Alaska,2261,Valdez-Cordova,100,0,0,1
Alaska,2275,Wrangell,100,0,0,1
Alaska,2282,Yakutat,100,0,0,1
Alaska,2290,Yukon-Koyukuk,100,0,0,1
Arizona,4001,Apache,0.7194,0.2742,0.0064,2327
Arizona,4003,Cochise,0.7744,0.1993,0.0264,10499
Arizona,4005,Coconino,0.6733,0.2977,0.029,3829
Arizona,4007,Gila,0.7398,0.2323,0.0279,6568
Arizona,4009,Graham,0.8094,0.1554,0.0352,4375
Arizona,4011,Greenlee,0.8617,0.1231,0.0152,1771
Arizona,4012,La Paz,100,0,0,1
Arizona,4013,Maricopa,0.6728,0.2871,0.0401,47610
Arizona,4015,Mohave,0.7173,0.2408,0.0419,2529
Arizona,4017,Navajo,0.7332,0.254,0.0128,4142
Arizona,4019,Pima,0.6589,0.327,0.0141,18590
Arizona,4021,Pinal,0.7186,0.2498,0.0316,4868
Arizona,4023,Santa Cruz,0.6834,0.2933,0.0233,2530
Arizona,4025,Yavapai,0.6677,0.2815,0.0508,9926
Arizona,4027,Yuma,0.7454,0.2122,0.0424,4599
Arkansas,5001,Arkansas,0.8519,0.1447,0.0034,2357
Arkansas,5003,Ashley,0.9357,0.0643,0,1477
Arkansas,5005,Baxter,0.6693,0.3247,0.0061,1155
Arkansas,5007,Benton,0.5877,0.4064,0.0058,4114
Arkansas,5009,Boone,0.692,0.3051,0.0029,3448
Arkansas,5011,Bradley,0.9597,0.0397,0.0006,1637
Arkansas,5013,Calhoun,0.9578,0.0408,0.0014,735
Arkansas,5015,Carroll,0.6355,0.3622,0.0023,2595
Arkansas,5017,Chicot,0.9378,0.0614,0.0008,1221
Arkansas,5019,Clark,0.9071,0.0892,0.0037,2163
Arkansas,5021,Clay,0.6894,0.3083,0.0023,2579
Arkansas,5023,Cleburne,0.7293,0.2644,0.0063,1271
Arkansas,5025,Cleveland,0.9577,0.0396,0.0026,1136
Arkansas,5027,Columbia,0.9665,0.0335,0,1911
Arkansas,5029,Conway,0.8677,0.1315,0.0009,2320
Arkansas,5031,Craighead,0.8202,0.1746,0.0052,4066
Arkansas,5033,Crawford,0.7347,0.2609,0.0045,2672
Arkansas,5035,Crittenden,0.9883,0.0117,0,1880
Arkansas,5037,Cross,0.9149,0.074,0.0111,1797
Arkansas,5039,Dallas,0.9329,0.0671,0,1536
Arkansas,5041,Desha,0.9612,0.0375,0.0014,1468
Arkansas,5043,Drew,0.9447,0.0538,0.0015,1301
Arkansas,5045,Faulkner,0.8282,0.1679,0.0039,3044
Arkansas,5047,Franklin,0.8411,0.1535,0.0053,2247
Arkansas,5049,Fulton,0.6825,0.3153,0.0022,1386
Arkansas,5051,Garland,0.7007,0.2909,0.0084,4183
Arkansas,5053,Grant,0.8686,0.1306,0.0009,1126
Arkansas,5055,Greene,0.8125,0.1848,0.0027,2229
Arkansas,5057,Hempstead,0.9268,0.0724,0.0008,2623
Arkansas,5059,Hot Spring,0.7777,0.2184,0.0039,2033
Arkansas,5061,Howard,0.8369,0.1602,0.0029,1717
Arkansas,5063,Independence,0.7525,0.2453,0.0021,2792
Arkansas,5065,Izard,0.7644,0.2356,0,1766
Arkansas,5067,Jackson,0.8677,0.1319,0.0004,2479
