state_name,county_fips,county_name,per_dem,per_gop,per_oth,total_votes
Alabama,1001,Autauga,0.1997,0.0779,0.7224,7776
Alabama,1003,Baldwin,0.0989,0.117,0.784,18404
Alabama,1005,Barbour,0.2389,0.0486,0.7125,7946
Alabama,1007,Bibb,0.1395,0.0563,0.8042,4673
Alabama,1009,Blount,0.0364,0.2215,0.742,9086
Alabama,1011,Bullock,0.4518,0.0437,0.5045,4347
Alabama,1013,Butler,0.1685,0.0679,0.7636,7361
Alabama,1015,Calhoun,0.1548,0.1143,0.7308,26775
Alabama,1017,Chambers,0.1277,0.1017,0.7706,10636
Alabama,1019,Cherokee,0.0813,0.0603,0.8584,5685
Alabama,1021,Chilton,0.0636,0.18,0.7564,8902
Alabama,1023,Choctaw,0.2693,0.0289,0.7018,6093
Alabama,1025,Clarke,0.199,0.0566,0.7443,8626
Alabama,1027,Clay,0.0508,0.14,0.8092,5044
Alabama,1029,Cleburne,0.0401,0.1214,0.8385,3995
Alabama,1031,Coffee,0.0995,0.0633,0.8372,10766
Alabama,1033,Colbert,0.1467,0.1106,0.7428,15621
Alabama,1035,Conecuh,0.2153,0.0348,0.7499,5346
Alabama,1037,Coosa,0.1635,0.0866,0.7499,3811
Alabama,1039,Covington,0.0603,0.0633,0.8764,13128
Alabama,1041,Crenshaw,0.1325,0.0381,0.8293,5480
Alabama,1043,Cullman,0.0646,0.2875,0.6479,17265
Alabama,1045,Dale,0.0888,0.0625,0.8486,9705
Alabama,1047,Dallas,0.3917,0.0749,0.5335,16636
Alabama,1049,DeKalb,0.0857,0.3576,0.5566,14859
Alabama,1051,Elmore,0.1477,0.0678,0.7845,11812
Alabama,1053,Escambia,0.1386,0.0632,0.7983,10765
Alabama,1055,Etowah,0.1479,0.1395,0.7125,31186
Alabama,1057,Fayette,0.1084,0.1326,0.759,6238
Alabama,1059,Franklin,0.0646,0.2775,0.6578,9096
Alabama,1061,Geneva,0.0443,0.0331,0.9227,8581
Alabama,1063,Greene,0.5616,0.0454,0.3931,3969
Alabama,1065,Hale,0.3808,0.0506,0.5686,5260
Alabama,1067,Henry,0.1805,0.0159,0.8037,5292
Alabama,1069,Houston,0.09,0.0589,0.8511,16536
Alabama,1071,Jackson,0.0937,0.1092,0.7971,10908
Alabama,1073,Jefferson,0.2724,0.1939,0.5337,205033
Alabama,1075,Lamar,0.051,0.0614,0.8876,5925
Alabama,1077,Lauderdale,0.1147,0.1563,0.729,18883
Alabama,1079,Lawrence,0.0863,0.077,0.8366,7529
Alabama,1081,Lee,0.2134,0.1801,0.6065,13136
Alabama,1083,Limestone,0.0857,0.0839,0.8304,10375
Alabama,1085,Lowndes,0.3454,0.0717,0.5829,3263
Alabama,1087,Macon,0.6974,0.0403,0.2623,6381
