,fips,margin
237,08043,1.3971
238,08045,0.022999999999999965
239,08047,0.09330000000000005
240,08049,1.0174999999999998
241,08051,0.3036999999999999
242,08053,1.155
243,08055,1.0288
244,08057,1.5776
245,08059,0.18549999999999994
246,08061,1.7719
247,08063,1.6412
248,08065,0.20340000000000003
249,08067,0.17699999999999988
250,08069,0.1544000000000001
251,08071,1.0988
252,08073,1.6282
253,08075,1.5574000000000001
254,08077,1.2798
255,08079,1.1455
256,08081,1.6358000000000001
257,08083,1.2239
258,08085,1.3645
259,08087,1.416
260,08089,1.2247
261,08091,0.19600000000000006
262,08093,1.1699
263,08095,1.5923
264,08097,0.5193000000000001
265,08099,1.4585
266,08101,0.017199999999999993
267,08103,1.6773
268,08105,1.1848
269,08107,0.2759
270,08109,0.1388999999999999
271,08111,0.2490000000000001
272,08113,0.5417
273,08115,1.567
274,08117,0.3955
275,08119,1.3519999999999999
276,08121,1.74
277,08123,1.1802
278,08125,1.6669
279,09001,0.2716
280,09003,0.2767000000000001
281,09005,1.0505
282,09007,0.16299999999999992
283,09009,0.17410000000000003
284,09011,0.16010000000000008
285,09013,0.11540000000000006
286,09015,1.0426
287,10001,0.040600000000000025
288,10003,0.37090000000000006
289,10005,1.1124999999999998
290,12001,0.2708
291,12003,1.7011
292,12005,1.4343
293,12007,1.5255999999999998
294,12009,1.164
295,12011,0.29740000000000005
296,12013,1.6219
297,12015,1.2656999999999998
298,12017,1.4097
299,12019,1.3702999999999999
300,12021,1.2464
301,12023,1.4509
302,12027,1.3198
303,12029,1.66
304,12031,0.03810000000000002
305,12033,1.1505999999999998
306,12035,1.2071999999999998
307,12037,1.3725
308,12039,0.3656999999999999
309,12041,1.6383999999999999
310,12043,1.4607
311,12045,1.5051
312,12047,1.3172
313,12049,1.4498
314,12051,1.2296999999999998
315,12053,1.3014000000000001
316,12055,1.3433
317,12057,0.06860000000000005
318,12059,1.7884
319,12061,1.2150999999999998
320,12063,1.3883999999999999
321,12065,1.0687000000000002
322,12067,1.7149999999999999
323,12069,1.2004000000000001
324,12071,1.1915
325,12073,0.28169999999999995
326,12075,1.4548
327,12077,1.6036000000000001
328,12079,1.1947
329,12081,1.1601
330,12083,1.2587
331,12085,1.2452999999999999
332,12086,0.07330000000000003
333,12087,1.0793000000000001
334,12089,1.4583
335,12091,1.3901
336,12093,1.443
337,12095,0.2305000000000001
338,12097,0.1378000000000001
339,12099,0.12759999999999994
340,12101,1.2002000000000002
341,12103,0.0021999999999999797
342,12105,1.144
343,12107,1.4115
344,12109,1.2659
345,12111,1.0156
346,12113,1.4643
347,12115,1.1041
348,12117,0.027800000000000102
349,12119,1.3608
350,12121,1.5657
351,12123,1.5376999999999998
352,12125,1.6526
353,12127,1.1405
354,12129,1.4079
355,12131,1.5162
356,12133,1.6103
357,13001,1.5705
358,13003,1.4675
359,13005,1.7268
360,13007,1.1575
361,13009,0.012899999999999912
362,13011,1.7795
363,13013,1.431
364,13015,1.5067
365,13017,1.2616999999999998
366,13019,1.665
367,13021,0.23799999999999988
368,13023,1.5283
369,13025,1.8119999999999998
370,13027,1.2071
371,13029,1.3514
372,13031,1.2371
373,13033,1.0179999999999998
374,13035,1.4358
375,13037,0.1547
376,13039,1.3073
377,13043,1.4206999999999999
378,13045,1.3897
379,13047,1.559
380,13049,1.5066000000000002
381,13051,0.18740000000000012
382,13053,1.1347
383,13055,1.6176
384,13057,1.3921999999999999
385,13059,0.4202000000000001
386,13061,0.1071999999999999
387,13063,0.7087000000000001
388,13065,1.4755
389,13067,0.1430999999999999
390,13069,1.3988
391,13071,1.4717
392,13073,1.2578999999999998
393,13075,1.4037000000000002
394,13077,1.3552
395,13079,1.4611
396,13081,1.2491999999999999
397,13083,1.6453
398,13085,1.6784
399,13087,1.1696
400,13089,0.6735
401,13091,1.4548999999999999
402,13093,1.0604
403,13095,0.4004000000000001
404,13097,0.25099999999999995
405,13099,1.0502
406,13101,1.7551999999999999
407,13103,1.4954
408,13105,1.3647
409,13107,1.3858000000000001
410,13109,1.3680999999999999
411,13111,1.6463999999999999
412,13113,1.068
413,13115,1.4106999999999998
414,13117,1.3316000000000001
415,13119,1.6944000000000001
416,13121,0.46380000000000005
417,13123,1.635
418,13125,1.7967
419,13127,1.2318
420,13129,1.6248
421,13131,1.319
422,13133,1.265
423,13135,0.18239999999999995
424,13137,1.6397
425,13139,1.4321000000000002
426,13141,0.43870000000000003
427,13143,1.7397
428,13145,1.4430999999999998
429,13147,1.4954
430,13149,1.6851
431,13151,0.20469999999999994
432,13153,1.1241999999999999
433,13155,1.51
434,13157,1.5802
435,13159,1.531
436,13161,1.6350000000000002
437,13163,0.06820000000000004
438,13165,1.2590999999999999
439,13167,1.397
440,13169,1.3385
441,13171,1.4102
442,13173,1.4166
443,13175,1.2824999999999998
444,13177,1.4455999999999998
445,13179,0.2405000000000001
446,13181,1.3752
447,13183,1.2635
448,13185,1.1202
449,13187,1.5813
450,13189,1.1914
451,13191,1.2098
452,13193,0.23049999999999998
453,13195,1.5295
454,13197,1.2655999999999998
455,13199,1.2055
456,13201,1.4651
457,13205,1.1051
458,13207,1.4278
459,13209,1.4990999999999999
460,13211,1.4165999999999999
461,13213,1.6913
462,13215,0.24009999999999998
463,13217,0.10910000000000009
464,13219,1.3346999999999998
465,13221,1.3873000000000002
466,13223,1.2905
467,13225,1.0464
468,13227,1.6573
469,13229,1.7513
470,13231,1.7108999999999999
471,13233,1.5707
472,13235,1.3883999999999999
473,13237,1.4084
474,13239,1.0967
475,13241,1.5735
476,13243,0.09149999999999991
477,13245,0.3712999999999999
478,13247,0.40759999999999996
479,13249,1.5881
480,13251,1.1892
481,13253,1.3491
482,13255,1.2077
483,13257,1.5873
484,13259,0.19149999999999995
485,13261,0.04790000000000011
486,13263,0.20489999999999997
487,13265,0.21650000000000008
488,13267,1.4877
489,13269,1.2686
490,13271,1.3085
491,13273,0.08420000000000005
492,13275,1.1947
493,13277,1.3357
494,13279,1.4522000000000002
495,13281,1.6058000000000001
496,13283,1.3734
497,13285,1.2184
498,13287,1.2479
499,13289,1.0734
500,13291,1.633
501,13293,1.3412
502,13295,1.5925
503,13297,1.4923000000000002
504,13299,1.404
505,13301,0.1140000000000001
506,13303,0.007899999999999907
507,13305,1.571
508,13307,1.0776
509,13309,1.3913
510,13311,1.6616
511,13313,1.407
512,13315,1.4699
