state_name,county_fips,county_name,per_dem,per_gop,per_oth,total_votes
Alabama,1001,Autauga,0,0.0855,0.9144,1286
Alabama,1003,Baldwin,0,0.2226,0.7773,3445
Alabama,1005,Barbour,0,0.0565,0.9435,1788
Alabama,1007,Bibb,0,0.0916,0.9084,1343
Alabama,1009,Blount,0,0.3008,0.6992,2563
Alabama,1011,Bullock,0,0.0124,0.9876,809
Alabama,1013,Butler,0,0.0646,0.9354,1409
Alabama,1015,Calhoun,0,0.2047,0.7953,4181
Alabama,1017,Chambers,0,0.1234,0.8766,1767
Alabama,1019,Cherokee,0,0.1678,0.8321,1293
Alabama,1021,Chilton,0,0.4438,0.5562,3569
Alabama,1023,Choctaw,0,0.011,0.989,1457
Alabama,1025,Clarke,0,0.0223,0.9777,2110
Alabama,1027,Clay,0,0.2577,0.7424,1502
Alabama,1029,Cleburne,0,0.3087,0.6913,1027
Alabama,1031,Coffee,0,0.0525,0.9475,2152
Alabama,1033,Colbert,0,0.1562,0.8439,3125
Alabama,1035,Conecuh,0,0.0454,0.9546,1409
Alabama,1037,Coosa,0,0.2447,0.7553,1124
Alabama,1039,Covington,0,0.0525,0.9475,2936
Alabama,1041,Crenshaw,0,0.0265,0.9735,1432
Alabama,1043,Cullman,0,0.3272,0.6728,5364
Alabama,1045,Dale,0,0.1436,0.8564,1602
Alabama,1047,Dallas,0,0.046,0.954,2870
Alabama,1049,DeKalb,0,0.4331,0.5669,6333
Alabama,1051,Elmore,0,0.065,0.935,2570
Alabama,1053,Escambia,0,0.0999,0.9001,1882
Alabama,1055,Etowah,0,0.2108,0.7892,7661
Alabama,1057,Fayette,0,0.3576,0.6424,1622
Alabama,1059,Franklin,0,0.441,0.559,5794
Alabama,1061,Geneva,0,0.1347,0.8653,2123
Alabama,1063,Greene,0,0.0473,0.9527,656
Alabama,1065,Hale,0,0.0396,0.9605,1087
Alabama,1067,Henry,0,0.0432,0.9568,1088
Alabama,1069,Houston,0,0.1346,0.8654,3165
Alabama,1071,Jackson,0,0.2569,0.7431,2347
Alabama,1073,Jefferson,0,0.1918,0.8082,37861
Alabama,1075,Lamar,0,0.111,0.889,1622
Alabama,1077,Lauderdale,0,0.1429,0.8571,3822
Alabama,1079,Lawrence,0,0.1977,0.8023,1806
Alabama,1081,Lee,0,0.1286,0.8715,2007
Alabama,1083,Limestone,0,0.0565,0.9435,1982
Alabama,1085,Lowndes,0,0.0164,0.9836,792
Alabama,1087,Macon,0,0.0908,0.9092,1211
Alabama,1089,Madison,0,0.1322,0.8678,3526
