state_name,county_fips,county_name,per_dem,per_gop,per_oth,total_votes
Alabama,1001,Autauga,0.2377,0.7277,0.0346,24973
Alabama,1003,Baldwin,0.1939,0.7655,0.0407,95215
Alabama,1005,Barbour,0.4653,0.521,0.0138,10469
Alabama,1007,Bibb,0.2125,0.764,0.0235,8819
Alabama,1009,Blount,0.0843,0.8933,0.0224,25588
Alabama,1011,Bullock,0.7495,0.242,0.0085,4710
Alabama,1013,Butler,0.4267,0.5613,0.012,8732
Alabama,1015,Calhoun,0.2767,0.6866,0.0367,47864
Alabama,1017,Chambers,0.4161,0.5642,0.0196,13900
Alabama,1019,Cherokee,0.1441,0.8342,0.0217,10733
Alabama,1021,Chilton,0.1585,0.821,0.0205,18369
Alabama,1023,Choctaw,0.4264,0.5631,0.0106,7292
Alabama,1025,Clarke,0.4412,0.5479,0.0109,13031
Alabama,1027,Clay,0.1867,0.7918,0.0214,6624
Alabama,1029,Cleburne,0.1037,0.8743,0.022,6593
Alabama,1031,Coffee,0.2033,0.7644,0.0323,20767
Alabama,1033,Colbert,0.2935,0.6721,0.0344,24915
Alabama,1035,Conecuh,0.4677,0.5194,0.0129,6585
Alabama,1037,Coosa,0.3393,0.6438,0.0169,5252
Alabama,1039,Covington,0.1497,0.8323,0.0179,15940
Alabama,1041,Crenshaw,0.2655,0.7201,0.0144,6267
Alabama,1043,Cullman,0.1003,0.871,0.0287,37873
Alabama,1045,Dale,0.2354,0.7365,0.0282,18749
Alabama,1047,Dallas,0.6831,0.3081,0.0089,18792
Alabama,1049,DeKalb,0.1402,0.8288,0.0309,25826
Alabama,1051,Elmore,0.2266,0.7417,0.0317,37260
Alabama,1053,Escambia,0.3102,0.6692,0.0205,14845
Alabama,1055,Etowah,0.2364,0.7326,0.031,44164
Alabama,1057,Fayette,0.1651,0.8137,0.0212,8249
Alabama,1059,Franklin,0.1825,0.7862,0.0313,12040
Alabama,1061,Geneva,0.1297,0.85,0.0203,11758
Alabama,1063,Greene,0.8223,0.1717,0.0059,4880
Alabama,1065,Hale,0.5939,0.3947,0.0114,8040
Alabama,1067,Henry,0.2839,0.6977,0.0183,8072
Alabama,1069,Houston,0.2501,0.7207,0.0292,42639
Alabama,1071,Jackson,0.175,0.7945,0.0305,20984
Alabama,1073,Jefferson,0.5157,0.443,0.0413,304191
Alabama,1075,Lamar,0.1487,0.8359,0.0154,6966
Alabama,1077,Lauderdale,0.2518,0.7059,0.0424,39525
Alabama,1079,Lawrence,0.2446,0.7305,0.0249,14829
Alabama,1081,Lee,0.3587,0.5848,0.0565,59191
Alabama,1083,Limestone,0.235,0.7214,0.0437,40294
Alabama,1085,Lowndes,0.7306,0.262,0.0075,6684
Alabama,1087,Macon,0.8278,0.1566,0.0156,9140
Alabama,1089,Madison,0.3845,0.5479,0.0676,163389
Alabama,1091,Marengo,0.5107,0.476,0.0133,10994
Alabama,1093,Marion,0.1103,0.8683,0.0214,12984
Alabama,1095,Marshall,0.1392,0.8278,0.033,35316
Alabama,1097,Mobile,0.4179,0.5506,0.0315,172737
Alabama,1099,Monroe,0.4218,0.5642,0.014,10271
Alabama,1101,Montgomery,0.6145,0.3546,0.0309,95878
Alabama,1103,Morgan,0.2222,0.7402,0.0376,50644
Alabama,1105,Perry,0.7245,0.2666,0.0089,5278
Alabama,1107,Pickens,0.4163,0.5718,0.0119,9542
Alabama,1109,Pike,0.384,0.5842,0.0318,13168
Alabama,1111,Randolph,0.2249,0.7564,0.0187,10187
Alabama,1113,Russell,0.4975,0.4783,0.0243,19256
Alabama,1115,St. Clair,0.1455,0.8242,0.0302,38400
Alabama,1117,Shelby,0.2269,0.7212,0.0519,101254
Alabama,1119,Sumter,0.7403,0.2466,0.0131,6411
Alabama,1121,Talladega,0.3628,0.6171,0.0201,33407
Alabama,1123,Tallapoosa,0.2832,0.6976,0.0191,19486
Alabama,1125,Tuscaloosa,0.3841,0.5771,0.0389,82700
Alabama,1127,Walker,0.1526,0.8234,0.0241,29472
Alabama,1129,Washington,0.2782,0.7081,0.0137,8533
Alabama,1131,Wilcox,0.7086,0.2845,0.0069,6123
Alabama,1133,Winston,0.0846,0.8948,0.0207,10313
Alaska,2013,Aleutians East,0.3144,0.5576,0.128,547
Alaska,2016,Aleutians West,0.5706,0.329,0.1005,1225
Alaska,2020,Anchorage,0.4143,0.4689,0.1168,130223
Alaska,2050,Bethel,0.55,0.2231,0.227,4944
Alaska,2060,Bristol Bay,0.2407,0.6402,0.1191,428
Alaska,2068,Denali,0.3549,0.5292,0.1159,1113
Alaska,2070,Dillingham,0.5199,0.3459,0.1342,1908
Alaska,2090,Fairbanks North Star,0.33,0.539,0.131,41180
Alaska,2100,Haines,0.4459,0.4073,0.1468,1655
Alaska,2105,Hoonah-Angoon,0.5262,0.3159,0.1579,1431
Alaska,2110,Juneau,0.5306,0.3456,0.1238,16462
Alaska,2122,Kenai Peninsula,0.261,0.634,0.105,29035
Alaska,2130,Ketchikan Gateway,0.314,0.551,0.135,6337
Alaska,2150,Kodiak Island,0.344,0.5281,0.1279,5817
Alaska,2270,Kusilvak,0.5912,0.1971,0.2117,2055
Alaska,2164,Lake and Peninsula,0.3865,0.3466,0.2669,502
Alaska,2170,Matanuska-Susitna,0.19,0.706,0.104,45251
Alaska,2180,Nome,0.5129,0.2839,0.2032,3293
Alaska,2185,North Slope,0.47,0.3458,0.1841,2319
Alaska,2188,Northwest Arctic,0.533,0.2578,0.2093,2184
Alaska,2195,Petersburg,0.3339,0.537,0.129,1728
Alaska,2198,Prince of Wales-Hyder,0.38,0.4579,0.1621,2863
Alaska,2220,Sitka,0.4771,0.4089,0.1139,4475
Alaska,2230,Skagway,0.5352,0.2765,0.1883,839
Alaska,2240,Southeast Fairbanks,0.1949,0.7112,0.0939,3432
Alaska,2261,Valdez-Cordova,0.2831,0.571,0.1458,4483
Alaska,2275,Wrangell,0.2412,0.6687,0.0902,1132
Alaska,2282,Yakutat,0.4711,0.396,0.133,346
Alaska,2290,Yukon-Koyukuk,0.5707,0.298,0.1313,2728
Arizona,4001,Apache,0.6176,0.2979,0.0845,27661
Arizona,4003,Cochise,0.3489,0.5617,0.0894,50015
Arizona,4005,Coconino,0.542,0.3531,0.1049,59784
Arizona,4007,Gila,0.311,0.6299,0.0591,22515
Arizona,4009,Graham,0.2688,0.6534,0.0778,12281
Arizona,4011,Greenlee,0.3309,0.5733,0.0958,3300
Arizona,4012,La Paz,0.2647,0.6727,0.0627,5951
Arizona,4013,Maricopa,0.4483,0.4767,0.075,1567834
Arizona,4015,Mohave,0.2183,0.729,0.0526,79943
Arizona,4017,Navajo,0.4085,0.5107,0.0809,40294
Arizona,4019,Pima,0.5328,0.3971,0.0701,421640
Arizona,4021,Pinal,0.3697,0.5621,0.0682,129546
Arizona,4023,Santa Cruz,0.7114,0.2371,0.0515,16433
Arizona,4025,Yavapai,0.311,0.6232,0.0658,114450
